source,target,weight,resources,references,sign_decision
TP53,NOS2,-1.0,ExTRI;TFactS,11092782;11131279;8637893;9194524,PMID
YY1,HLA-A,1.0,ExTRI;GEREDB;NTNU.Curated,11132148,default activation
TP53,PTHLH,1.0,ExTRI;GEREDB,11132926;8537338;8752179,PMID
SP1,VCAM1,1.0,ExTRI,11133225;7499419,default activation
SP1,IL4,1.0,ExTRI;GEREDB,11133225;12905482;14603527;15739164,PMID
NCOR2,POU2AF1,1.0,ExTRI,11134019,default activation
STAT1,COL1A2,1.0,ExTRI;NTNU.Curated,11134049,default activation
CREB1,TRH,1.0,DoRothEA-A;ExTRI;NTNU.Curated;TRRUST,11134186;12113951;18427988;20136691;9827656,PMID
STAT3,IGFBP1,1.0,ExTRI;NTNU.Curated,11134330,PMID
POU2F1,NOS2,1.0,ExTRI;GEREDB;HTRI;NTNU.Curated,11134960;14630716;19467240;22349263;24459328,PMID
ID4,BRCA1,-1.0,ExTRI;GEREDB;TRRUST,11136250;12032322;16582598;17016441;21194482;24475217,PMID
NR4A3,HLA-G,1.0,ExTRI,11137212,default activation
STAT1,TNFRSF10B,1.0,ExTRI,11139340,default activation
HHEX,MYH10,1.0,ExTRI;GEREDB,11139473;11795310,PMID
HOXB7,MYH10,1.0,ExTRI,11139473,default activation
SMAD1,TNFSF11,1.0,CytReg;ExTRI;GEREDB;TFactS,11139569;17967138,regulon
SP1,EBP,1.0,ExTRI,11139605;17273900;20506344,default activation
WT1,INSR,1.0,ExTRI,11145562;12444079;16087727;16647191;8390684;9441865,default activation
SREBF1,STAR,1.0,ExTRI;NTNU.Curated;TFactS,11145563;11250933;11861536,PMID
ZGLP1,KCNJ11,1.0,ExTRI,11145575,default activation
NR5A1,CD44,1.0,ExTRI,11145595,default activation
JUN,IL1B,1.0,CytReg;ExTRI;NTNU.Curated;TRRUST,10226077;11145674;11306276;14686613;16365456;16729332;17283046;18566416;18789903;20463008;23608488;7935377;8133045;8798756,PMID
MAX,CXCR4,1.0,ExTRI;NTNU.Curated,11145693,default activation
MXD1,CXCR4,-1.0,ExTRI;NTNU.Curated,11145693,PMID
NR0B1,CYP17A1,-1.0,ExTRI;GEREDB;TRRUST,11145739;11592817;11857908;12566726;15155786,PMID
CEBPB,NF1,1.0,ExTRI,11145742,default activation
NR5A1,AKR1B10,1.0,ExTRI;NTNU.Curated,11145742,default activation
NR5A1,NF1,1.0,ExTRI,11145742,default activation
SP1,AKR1B10,1.0,ExTRI;NTNU.Curated,11145742,default activation
CEBPG,AKR1B15,1.0,ExTRI,11145742,default activation
NR5A1,AKR1B15,1.0,ExTRI,11145742,default activation
SP1,AKR1B15,1.0,ExTRI,11145742,default activation
CEBPG,NF1,1.0,ExTRI,11145742;1718972;2023930,default activation
TTF1,DIO2,1.0,ExTRI,11145743,default activation
ESR1,TGFA,1.0,DoRothEA-A;ExTRI;HTRI;SIGNOR;TRRUST,10828826;11145955;11517191;18414489;22488924;8360257;9667651,PMID
NR5A2,HNF1A,1.0,ExTRI;NTNU.Curated,11145965,PMID
HNF1A,NR5A2,1.0,GEREDB,11595170,regulon
CREB1,GALR1,1.0,ExTRI;GEREDB;NTNU.Curated,11145992;15934937,PMID
TFAP2A,DBH,1.0,DoRothEA-A;ExTRI;NTNU.Curated;TRRUST,11146001;7616204;9763470,PMID
TFAP2A,TH,1.0,ExTRI;TFactS;TRRUST,11146001;9751166,default activation
NR1H3,APOE,1.0,ExTRI;GEREDB;TFactS,11149950;12454263;15292368;15949682;16461908;19218241;19229075;19258656;19342446;20419060,PMID
NR1H3,ABCG1,1.0,DoRothEA-A;ExTRI;GEREDB;GOA;HTRI;NTNU.Curated;TFactS;TRRUST,11149950;11500512;12198243;14726413;15292368;15949682;16141411;16680026;16803904;17005185;18580406;18925943;19258656;19342446;19588995;20139031;20385932;20395595;20419060;20570635;20811644;22367754;24603323,PMID
PPARG,UCP2,1.0,ExTRI;GEREDB;NTNU.Curated,11150307;18398502;20360005;9832429,PMID
SPI1,IL4,1.0,CytReg;ExTRI,11150515;19592658;21957289,PMID
TP53,CHEK1,-1.0,ExTRI;NTNU.Curated;TFactS;TRRUST,11152453;11158294;15016801;18632613;18753293;19395378;19435816;20190799;21546904,PMID
ZNF362,CIITA,1.0,ExTRI,11152485,default activation
PITX1,SHH,1.0,ExTRI,11152636,default activation
NKX2-1,SFTPB,1.0,DoRothEA-A;ExTRI;GEREDB;GOA;HTRI;NTNU.Curated;Pavlidis2021;SIGNOR;TRRUST,10710519;11152647;11274148;12161428;16183668;16500948;16507635;16960125;18003659;19906647;20418387;8065304;9006959;9211870;9252399;9396717,PMID
GATA4,NFYA,1.0,ExTRI,11154110,default activation
ATF2,MMP1,1.0,ExTRI,11156425,default activation
SOX10,ERBB3,1.0,ExTRI;GEREDB,11156606;11799060;21672228,default activation
HMGA1,INSR,1.0,ExTRI;GEREDB;TRRUST,11156965;12665574;16707431;17434141;17510394;20335021;20975707;22355763,default activation
JUN,TPSD1,1.0,ExTRI;NTNU.Curated,11157480;11741327;16730810,PMID
MITF,TPSD1,1.0,ExTRI,11157480;11741327;18284417;20513998,default activation
ELF1,TEK,1.0,ExTRI;TRRUST,11157678;16352813;19674970,PMID
ELF2,TIE1,1.0,ExTRI,11157678,default activation
PITX2,PLOD1,1.0,ExTRI;TRRUST,11157981;12692125;21837767,default activation
RARB,NGF,1.0,ExTRI,11158236,default activation
SRF,NPPA,1.0,ExTRI;NTNU.Curated,11158291;16597624;17468179;9295358,PMID
E2F4,DHFR,-1.0,ExTRI;NTNU.Curated,11158299,PMID
SP1,DHFR,1.0,ExTRI;HTRI;NTNU.Curated,11158299;11389717;12788094;1597451;1740417;1820211;1834700;3945313;8552092;8622648;9363748;9591776;9819401,PMID
SP1,RBL2,1.0,ExTRI,11158299,default activation
TFDP1,DHFR,1.0,ExTRI;GEREDB;NTNU.Curated;SIGNOR;TRRUST,11158299;12788094;14618416;16135794;18793430,PMID
TFDP1,RBL2,1.0,ExTRI,11158299,regulon
ETV4,MMP7,1.0,ExTRI;NTNU.Curated;TRRUST,11158322;12851697;15138601;8294454,PMID
CEBPB,CSN2,1.0,ExTRI;NTNU.Curated,11158330;11726661;14976147,default activation
NR5A1,GNRHR,1.0,ExTRI;TFactS,11158337;16613990;17293441;9002645;9607816,PMID
PAX3,F10,1.0,ExTRI,11159521,default activation
SPI1,F10,1.0,ExTRI,11159521,default activation
ESR1,TGFB3,1.0,ExTRI;GEREDB,11159847;12580758,PMID
STAT3,MCL1,1.0,ExTRI;NTNU.Curated;TFactS;TRRUST,11160159;15184887;15469392;15805299;16048438;16317687;16432172;17880940;17951530;18790750;19523441;19595668;20654581;22313388;22465052,PMID
SP1,CCND2,1.0,ExTRI;TRRUST,11160217;19753117;9339900,PMID
STAT5A,CCND2,1.0,ExTRI;TFactS;TRRUST,11160217;12586844;14660677;15509806;22723377,default activation
