,sr,dne,shannon,mad800,cytotrace,activity,netith
JEKO-1,1.5118203846790428,190.21313132550088,4.29375668571862,0.8609816729845199,8.726708009789132,0.2834081432179723,5.576361765826855
JHU-022,3.1547140505681703,21.78247058872043,4.76533136066629,2.229113367997475,9.651963845754974,0.17498687639242275,5.7301778582068446
I-9-2,1.4727092087376632,276.0402936720825,4.106611165595196,0.8869142250925353,8.405820072046978,0.23131610627348628,5.735245301065757
EVSA-T,1.493151829379582,196.94114125492132,4.36025341075761,0.8988633990208303,8.588021578946973,0.16570042462233242,6.456736774646223
EBC-1,1.5473733755612065,199.1770791076737,4.8208659154290245,2.135805441517994,9.388917490073991,0.18058277741047332,5.576957244519211
ASH-3,2.151730282405614,119.28024084504605,4.5783642108512375,2.219203474241855,9.544896260684894,0.19954276410101743,5.489841473015602
CaR-1,1.540281834478535,104.20520811112962,5.0405906606203885,2.4883737453745844,9.88653510723772,0.21979754583736627,5.747743054163059
CP66-MEL,3.0503583639911698,219.85285458054327,4.503669931710972,1.8326466044648755,9.237668563073989,0.15679350872325676,5.821948664396125
D-392MG,1.5157642862535954,71.05979965189454,4.847613361193584,2.626605961525725,9.967107358684183,0.25502318459397955,6.273887243347467
EW-16,3.061476462306215,213.63767732461383,4.547252113079224,1.5007276924708852,9.025481166365076,0.15017025490069885,5.262738399589539
HL-60,1.2923340888710827e-14,294.24383303533284,4.301515029713814,0.83601254323871,8.849679031246005,0.2578447724888166,5.25898107315624
HCC1937,1.5044256389324504,242.90388684831623,4.764715707027493,2.4336003871972496,9.779422377547144,0.1941998703592627,5.851647413126091
HEL,1.7250941048338495,201.21127015663893,4.338812283525131,0.849034797972265,8.704677955713924,0.31358458501097,5.2921685146512125
HCC202,2.994129323474387,88.34433567415135,4.556220806223699,1.0866372436894451,8.95326786252729,0.2489857934626326,5.851448467637565
HCC1500,3.12909301648029,176.60661526832314,4.236141914019433,1.1565112609378305,8.923950617954153,0.33502982173821155,5.687898812102048
ES7,3.0780654662358637,88.81158370687092,4.532829612803452,1.938144645098085,9.247481766913323,0.20366109109186836,5.850161994887385
AMO-1,1.5992110760172085,133.03683340297343,4.132983960606344,0.5917379338610449,8.44267091302482,0.2942775223541442,5.545068737613911
A2780,2.9272289498792263,117.71014054900087,4.200516385653399,0.8748326418186452,8.66632063097112,0.22931915596567587,5.254833550876037
DEL,1.5726827820028288,258.7044841976697,4.424757563200968,1.300955546268395,9.131599262945588,0.18878662400874788,5.637780862400215
ECC10,2.8884525554097853,167.0804960923713,4.545427446392601,0.950172473903635,8.554897902733893,0.25347726070130217,5.936725703126498
EW-13,1.9083304723127223,95.29247460704363,4.365775173778983,1.53823407537992,8.95701243765813,0.18351919156109137,5.619609234104996
HSC-3,1.5031380985782639,112.6432044912442,4.902836268183292,2.6484979469875154,10.010597703698972,0.20719456947322618,5.513887487682223
HuO9,2.8006134383234906,126.3145922148448,4.600504546326533,1.6162240526291298,9.377435182730817,0.2650733249044008,5.5681508523656
HPAC,3.1741352117959574,64.78774077299823,4.8333239355162645,2.5586627428955646,9.899783331011182,0.17303848719683523,5.635945301677278
Hs-633T,3.1416404698411644,256.02935358004936,4.970181859627925,2.5329991264850995,9.938509476556398,0.209125286004449,5.996807900269409
HCC2998,1.2110942323333877e-14,41.733195683559416,4.429990126686484,1.8848788049692502,9.269892950346001,0.14060355065780586,5.861797303541166
EFO-21,3.2318221588861418,145.9408326627152,4.829000083355662,2.2500718649392946,9.579870577135619,0.21507538793204714,5.6250971102051
451Lu,2.9088450231743197,181.02931485922903,4.549449385158885,1.4878890448262352,9.376957345141488,0.23493773233268078,5.592997959435161
BB30-HNC,1.468753039641577,161.1103920570859,4.873144384045177,2.4916746153847003,9.906395073235124,0.24729365541030277,5.4644603242805445
CL-11,2.864829397609772e-14,168.79631434567614,4.729928694301512,2.517268415967515,9.714634220090982,0.2047638490389304,6.065093653625863
D-336MG,1.838276653707534,155.18066044928582,4.828666253331428,2.24262469445083,9.618996967770304,0.1988017591182702,5.591063185976754
ECC12,2.07279343464984,168.6331726603569,4.423268739509731,1.0599854865528502,9.170250667234804,0.3072140262409839,5.669285236440705
EKVX,3.160078220057197,106.79007757039652,4.821561048081766,2.4090962305642547,9.920662860747344,0.185329941561139,5.7600996003617295
HuP-T3,2.0324599874076564e-14,35.67118241494791,4.80073600824855,2.31136917406982,9.622370707938048,0.1729217672462052,5.8645981492302255
HEC-1,2.0024160663952437,63.9595569003225,4.4011209426827,1.4179740836217052,9.073418722199733,0.14596835986468973,5.552113671543169
HGC-27,2.937393764650314,79.52699922488125,4.26572289118843,1.238539251833225,8.846753942829523,0.19870124734403688,5.625213865183793
H9,1.4956789731272022,13.95378990883799,4.299400875125803,0.7405325380937251,8.572851433610957,0.2790397936125415,5.446283175836455
HCC-56,3.834818209692817e-14,21.55884085112058,4.72813438820392,2.3982281469062197,9.561122258622138,0.2619512325157032,5.195461447860794
EW-18,2.6985105461948664,204.69535720767556,4.3338052165509415,1.2468245765212802,8.651550377497522,0.1970131195774588,5.771377289405108
A427,1.938973355596601,210.54648002651635,4.351087505688831,1.8363370004731199,9.196025766913523,0.2061923062383145,5.302914751682602
BB49-HNC,2.9891148970759325,48.88989942471389,4.976754246724878,2.5550350496746557,9.951033341693876,0.24941408214385064,6.014798293629116
CCK-81,1.608765838445501,83.10969838450447,4.470862263986392,1.11825540948248,8.721539046543173,0.18992538800502057,6.116152395504928
D-247MG,2.273436863506514,191.66486026575458,4.8162396362803825,2.4187358516518795,9.782412365388408,0.1912518513258838,5.81421676811074
ES5,1.889992544573846,16.434757409012235,4.31595657380195,1.44075011009227,8.545771753163729,0.16419083553959726,5.969209207281931
