k,combo,tfs,n_tfs,delta_netith_pred,abs_delta
4,SMAD7+DNMT3B+HES1+AEBP1,"AEBP1,DNMT3B,HES1,SMAD7",4,-0.20215012510906977,0.20215012510906977
4,STAT1+HEYL+SRF+NPM1,"HEYL,NPM1,SRF,STAT1",4,-0.20207459149678014,0.20207459149678014
4,STAT1+RARG+HES1+SRF,"HES1,RARG,SRF,STAT1",4,-0.20197676127635933,0.20197676127635933
4,PAX3+SMAD7+ZBTB20+NPM1,"NPM1,PAX3,SMAD7,ZBTB20",4,-0.20188996478474402,0.20188996478474402
4,ZBTB20+NFIA+SRF+NPM1,"NFIA,NPM1,SRF,ZBTB20",4,-0.2018799417079783,0.2018799417079783
4,DNMT3B+NFIA+NPM1+AEBP1,"AEBP1,DNMT3B,NFIA,NPM1",4,-0.20185889259480894,0.20185889259480894
4,HEYL+NFIA+AEBP1+ZNF165,"AEBP1,HEYL,NFIA,ZNF165",4,-0.20180437147031793,0.20180437147031793
3,STAT1+HES1+ZNF202,"HES1,STAT1,ZNF202",3,-0.20178962723907615,0.20178962723907615
4,STAT1+PAX3+RARG+NPM1,"NPM1,PAX3,RARG,STAT1",4,-0.20169555183886423,0.20169555183886423
4,ZBTB20+RARG+SFPQ+ZNF165,"RARG,SFPQ,ZBTB20,ZNF165",4,-0.20155169373449638,0.20155169373449638
4,SFPQ+NPM1+HOXC13+AEBP1,"AEBP1,HOXC13,NPM1,SFPQ",4,-0.2015333273215955,0.2015333273215955
3,STAT1+SMAD7+SFPQ,"SFPQ,SMAD7,STAT1",3,-0.2015208423704103,0.2015208423704103
4,STAT1+PAX3+HEYL+SRF,"HEYL,PAX3,SRF,STAT1",4,-0.20140427678841583,0.20140427678841583
4,ATF4+SMAD7+HES1+ZNF165,"ATF4,HES1,SMAD7,ZNF165",4,-0.20136853710204594,0.20136853710204594
4,ATF4+SFPQ+DNMT3B+NFIA,"ATF4,DNMT3B,NFIA,SFPQ",4,-0.20133655392609384,0.20133655392609384
4,ZBTB20+SFPQ+DNMT3B+SRF,"DNMT3B,SFPQ,SRF,ZBTB20",4,-0.20131493980853896,0.20131493980853896
4,ZBTB20+RARG+NPM1+HOXC13,"HOXC13,NPM1,RARG,ZBTB20",4,-0.20131204148466408,0.20131204148466408
3,ATF4+HEYL+ZBTB20,"ATF4,HEYL,ZBTB20",3,-0.20125966799881317,0.20125966799881317
4,PAX3+ZBTB20+NFIA+SRF,"NFIA,PAX3,SRF,ZBTB20",4,-0.20120962699961398,0.20120962699961398
4,PAX3+DNMT3B+NFIA+AEBP1,"AEBP1,DNMT3B,NFIA,PAX3",4,-0.20118857788644462,0.20118857788644462
4,STAT1+FOXP3+SMAD7+HEYL,"FOXP3,HEYL,SMAD7,STAT1",4,-0.20114192410599244,0.20114192410599244
4,ATF4+NFIA+NPM1+ZNF165,"ATF4,NFIA,NPM1,ZNF165",4,-0.2010773045877851,0.2010773045877851
4,ZBTB20+SRF+NPM1+ZNF165,"NPM1,SRF,ZBTB20,ZNF165",4,-0.20105569047023025,0.20105569047023025
4,ATF4+HEYL+NFIA+HOXC13,"ATF4,HEYL,HOXC13,NFIA",4,-0.20104238055177054,0.20104238055177054
4,SMAD7+ZBTB20+SFPQ+ZNF202,"SFPQ,SMAD7,ZBTB20,ZNF202",4,-0.2010405566577913,0.2010405566577913
4,DNMT3B+NPM1+AEBP1+ZNF165,"AEBP1,DNMT3B,NPM1,ZNF165",4,-0.2010346413570609,0.2010346413570609
4,HEYL+ZBTB20+SRF+HOXC13,"HEYL,HOXC13,SRF,ZBTB20",4,-0.20102076643421565,0.20102076643421565
4,HEYL+DNMT3B+HOXC13+AEBP1,"AEBP1,DNMT3B,HEYL,HOXC13",4,-0.20099971732104632,0.20099971732104632
4,FOXP3+SMAD7+ZBTB20+NFIA,"FOXP3,NFIA,SMAD7,ZBTB20",4,-0.20094727431719056,0.20094727431719056
4,PAX3+SFPQ+HOXC13+AEBP1,"AEBP1,HOXC13,PAX3,SFPQ",4,-0.2008630126132312,0.2008630126132312
4,STAT1+RARG+SFPQ+ZNF202,"RARG,SFPQ,STAT1,ZNF202",4,-0.20084614371191153,0.20084614371191153
4,STAT1+FOXP3+RARG+NFIA,"FOXP3,NFIA,RARG,STAT1",4,-0.20075286137131076,0.20075286137131076
4,HEYL+HES1+NFIA+AEBP1,"AEBP1,HES1,HEYL,NFIA",4,-0.20067348771308158,0.20067348771308158
4,PAX3+ZBTB20+RARG+HOXC13,"HOXC13,PAX3,RARG,ZBTB20",4,-0.20064172677629977,0.20064172677629977
4,HEYL+ZBTB20+SFPQ+NPM1,"HEYL,NPM1,SFPQ,ZBTB20",4,-0.20051864019768084,0.20051864019768084
