drug,n,rho_original,p_original,rho_phospho,p_phospho,rho_kinase_only,p_kinase_only,rho_combined,p_combined,delta_phospho,delta_combined
Eg5_9814,687,0.2370337963849818,3.146579410056672e-10,0.1495556578330675,8.320740177643126e-05,,,-0.06856245305358574,0.07250882405653739,-0.08747813855191428,-0.30559624943856756
GSK2110183B,691,0.14096721245293217,0.00020123767861031461,0.05379876042420974,0.1577544610294941,,,-0.07411871805997405,0.051474624785025486,-0.08716845202872243,-0.21508593051290623
SN-38,900,0.27300427119868875,7.579234859673976e-17,0.1870552597390038,1.5690746339084683e-08,,,-0.08445473800996463,0.011255957606250824,-0.08594901145968495,-0.35745900920865337
AZD8186,900,0.08887927022132128,0.007631470386217381,0.003417370474119927,0.9184559059030188,,,-0.07868166092386122,0.018234079969015424,-0.08546189974720135,-0.1675609311451825
LMB_AB1,691,0.26806585030951074,7.755699990301067e-13,0.18262299087778672,1.3476527749799867e-06,,,-0.08122396635542066,0.03277839919160049,-0.08544285943172403,-0.3492898166649314
Luminespib,906,0.14938820375004186,6.3103561849751035e-06,0.06405413289173276,0.05393770940696311,,,-0.07178241249007584,0.03073837063445648,-0.0853340708583091,-0.2211706162401177
GW441756,896,0.23086477070415612,2.641212419495568e-12,0.1455495439707244,1.2198891048087424e-05,,,-0.07738921571505976,0.02051719924670072,-0.08531522673343173,-0.30825398641921586
Dacarbazine,691,0.23567490391555404,3.5528598096610823e-10,0.15046997960775602,7.161539593374664e-05,,,-0.06723533052173815,0.07736128030099648,-0.08520492430779802,-0.3029102344372922
Savolitinib,899,0.25701905854314744,4.979533246047751e-15,0.17195081890048583,2.135176307545949e-07,,,-0.08999551592836387,0.0069320417299581745,-0.08506823964266161,-0.3470145744715113
Dactolisib,900,0.1460538922476036,1.0868197532921528e-05,0.06117456112085736,0.06659396691941594,,,-0.07412949069484448,0.026158246478211987,-0.08487933112674623,-0.22018338294244807
GSK-LSD1-2HCl,714,0.2216999731561236,2.120573003905626e-09,0.13696039131234244,0.0002419944631757162,,,-0.07956546382418835,0.033528501475015744,-0.08473958184378116,-0.30126543698031194
CCT007093,880,0.25118608694672195,3.958146690164844e-14,0.1670498964064684,6.243954395720528e-07,,,-0.08225375713647262,0.01465844676169843,-0.08413619054025356,-0.3334398440831946
Topotecan,691,0.2602068602565786,3.7136818208914135e-12,0.17643631234749438,3.0679514906900584e-06,,,-0.07448685919456308,0.05032377172274347,-0.0837705479090842,-0.3346937194511417
776928,690,0.2052090006490247,5.369826931001958e-08,0.12161462216891865,0.001371179243732725,,,-0.0712975023371555,0.06123163138493252,-0.08359437848010605,-0.2765065029861802
GSK-LSD1,690,0.2459272765428674,5.788127830832101e-11,0.16237892429570502,1.8184660623762726e-05,,,-0.0659405967538538,0.0834764878924026,-0.08354835224716237,-0.31186787329672117
615590,691,0.22303777174594988,3.081938942717236e-09,0.13975433253233602,0.00022856461616085758,,,-0.06308837751305788,0.09751038151764664,-0.08328343921361386,-0.28612614925900776
AZ6102,898,0.16067349448510723,1.3009033060388056e-06,0.077505304447369,0.020188074678785622,,,-0.07048904435799032,0.03468595765376394,-0.08316819003773823,-0.23116253884309756
