cell_line,NetITH
JHOS-3,6.30783215205302
NB4,5.234614333150433
IOSE-397,5.8511366629285035
HCE-7,5.546398304877821
UE6E7T-3,5.818117642626611
OV-7,5.851579523317853
BICR31,5.845739388479792
MDA-MB-330,5.9882736861023185
MHH-CALL-4,5.463410620759323
MC-CAR,5.320490197479639
TGW,5.641689417078319
NCI-H1436,5.865749062828501
CADO-ES1,5.6271587620032175
JHOS-2,5.503328381011341
YT,5.459966866909876
SK-GT-4,5.638955647009203
RWPE2-W99,5.778795344883247
UACC-812,6.104291230750387
SNU-61,5.5036071248255825
SIG-M5,5.26069293709534
ALL-SIL,5.653647362481954
KMS-12-BM,5.649552936432283
FTC-133,5.629618137606244
RCC10RGB,5.691763825521877
MKN45,5.760252701033376
TE-441-T,5.3483785767434595
SNU-175,5.244431402580305
SF295,5.514117343443156
AsPC-1,5.3559748260395486
KYSE-180,5.609371986264263
CS1,5.782519426749385
Raji,5.379346924834394
NCI-N87,5.22299440356463
MIA-PaCa-2,5.518836983301056
TC-YIK,5.487047654404158
SNU-283,5.811047090539383
A3-KAW,5.6625654454499434
BONNA-12,5.486431029115686
KMOE-2,5.339638706083636
ECC4,5.774618349461818
PWR-1E,6.023829183480499
NCI-H748,5.465612166269098
MHH-NB-11,5.785318217832859
SUP-M2,5.600968703857996
SNU-1040,5.7413182641324925
SCCH-196,5.44467440939232
BxPC-3,5.826451688801147
HuO-3N1,5.796323420505229
Calu-3,5.66059113831842
PCI-4B,5.492375449317081
NCI-H2196,5.769773906164088
A704,5.823855285016693
SNU-C5,5.5522153724935555
SK-N-DZ,5.372061284977934
SACC-83,5.336566862645739
RCC-FG2,5.735592544191789
KASUMI-1,5.5309055728929435
CHP-126,5.636572458305328
NCI-H2066,5.822313097021524
SW156,5.652866264517196
SU-DHL-5,5.606435446528325
SK-N-AS,5.555780703082249
8-MG-BA,5.700381326140923
MDA-MB-134-VI,5.958078793545645
Hs-940-T,5.565096056291085
CAL-12T,5.620971576149218
PANC-02-03,5.51681572826316
NCI-H1105,5.739004158619117
LoVo,5.615473789080712
SNU-81,5.614634902165398
SK-MEL-31,5.859752745864662
Sci-1,5.507948513816437
ME-1,5.321112804525603
HSC-39,5.786643404878983
CAL-148,5.726176701446806
P31-FUJ,5.302574386875454
NCCIT,5.58709803157364
SNU-407,5.888549927004222
SIMA,5.762806185170598
AGS,6.0008485242905225
LC-1F,5.7983728200553
EW-12,5.860912935557278
RCC-ER,5.611906153474038
MM1S,5.606347113358979
KARPAS-45,5.582061174405044
PA-TU-8902,5.498991048209789
ES6,5.704174415783805
GA-10-Clone-4,5.472306373779752
HO-1-u-1,5.425982074005564
M00921,5.793175777164176
SNU-C1,5.558083439528317
NB1,5.643959270024495
SCC90,5.57979269979937
KG-1,5.269449323352806
K-562,5.918348450440809
NCI-H292,5.717573276614489
PANC-04-03,5.471242971540211
LNCaP-Clone-FGC,5.433059036538056
C-4-I,5.856049424115925
ESS-1,5.833951860213404
TC-71,5.430770639356038
KP-2,5.874195445250174
HCC1395,6.075340427130355
M980513,5.782762616915079
JHU-029,5.866125255329987
HSC-2,5.8436970635243695
STS-0421,5.791127632003738
LB996-RCC,5.752599455528935
SNG-M,5.85873430951937
NB6,5.62224015333564
Ishikawa_Heraklio_02ER-,5.586040692162222
JVM-2,5.611955723021254
TK,5.312936817198446
DBTRG-05MG,6.03639467236699
KP-N-YN,5.7007500016618815
NCI-H1770,5.550710002797024
RCC-JF,5.651601082007786
NCI-H446,5.4411960614108175
TK10,5.958578331782486
L-428,5.5056392117206325
Daudi,5.54264198266124
CW-2,5.439798779161638
GDM-1,5.235694772115639
KYSE-220,6.324405030585559
MDA-MB-436,5.668112111737833
MOLM-16,5.468159442021952
OCI-AML3,5.684344034319439
HCC38,5.806244834198598
RL95-2,5.968221527081888
NCI-H2087,5.827012953824433
D-423MG,5.947558281318028
8505C,5.650602898353593
JM1,5.276852984658207
CML-T1,5.7641896693687755
M059J,5.932691943382559
CHSA0108,5.444028911132717
CL-34,6.254270470195757
CAL-62,5.671111953219538
SW626,6.135262428446064
TASK1,5.570361352169174
DMS-273,5.871987914227426
HCC1599,5.589498669187682
Hey,5.534260967520019
MSTO-211H,5.585939289840795
RCH-ACV,5.572595837393389
SU-DHL-16,5.40234252962037
GRANTA-519,5.352468889160421
K2,5.981697634853196
TE-4,5.618899278367342
