drug,pathway,eri,eri_weighted,slope,r_squared,ic50_range,netith_range
AGK2,Chromatin histone acetylation,0.27803410107461685,0.010869642274611775,0.8137466898938099,0.0390946370700573,2.9267873499999997,0.7231252053480635
GSK-LSD1-2HCl,Chromatin histone methylation,0.2777123869070125,0.01061009054109746,0.8169995577446386,0.03820531975280626,2.9418909500000003,0.7231252053480635
Foretinib,RTK signaling,0.2870715344687349,0.010558577240685197,1.1642317559142328,0.0367803002837787,4.055545799999999,0.7231252053480635
AZ960,"Other, kinases",0.26830842192313764,0.010359644224844228,1.5009445992045414,0.03861095432856728,5.5941016999999995,0.7231252053480635
MIM1,Apoptosis regulation,0.27052192141427417,0.01031837613976084,1.0316199816681981,0.03814247690470673,3.8134431999999996,0.7231252053480635
BDILV000379a,Chromatin histone acetylation,0.26749475561650504,0.010204597448017457,0.7271406240035478,0.038148775756364064,2.718336,0.7231252053480635
Nilotinib,ABL signaling,0.2975375683523033,0.010140742579727614,1.2844566504313994,0.03408222577029443,4.316956199999999,0.7231252053480635
Mycophenolic acid,Unclassified,0.2636669734274035,0.010077843066864364,1.3221538723135344,0.03822186349645015,5.014484199999999,0.7231252053480635
SB590885,ERK MAPK signaling,0.2596108710216803,0.009566807691017264,1.1613817577400136,0.036850566593639805,4.47354825,0.7231252053480635
SGC-CBP30,Chromatin histone acetylation,0.25801407572911317,0.009507870735898413,0.7392795134383158,0.03685020171488879,2.8652681499999995,0.7231252053480635
Docetaxel,Mitosis,0.26900003124830274,0.009493256104618571,1.7865164375051117,0.035290910787500025,6.6413242750000006,0.7231252053480635
Navitoclax,Apoptosis regulation,0.25956692264443354,0.009387033145671166,1.6920207289576839,0.03616421171864778,6.51863,0.7231252053480635
Podophyllotoxin bromide,Unclassified,0.25320649154333763,0.009225277136352185,1.2957253499637464,0.03643380973419171,5.1172675,0.7231252053480635
NU7441,Genome integrity,0.26304298065148146,0.009177279247639385,1.1095279184510196,0.03488889619829397,4.218047999999998,0.7231252053480635
Dinaciclib,Cell cycle,0.2661332254341051,0.009137445037996109,1.2152596362534729,0.03433410098679524,4.5663581999999945,0.7231252053480635
SGC0946,Chromatin histone methylation,0.2537177930968104,0.00885485695806747,0.6592305271138422,0.03490041770420392,2.5982825999999983,0.7231252053480635
BDF00022089a,Chromatin histone acetylation,0.2483004642646065,0.008837833413451018,0.6636023581833737,0.03559330200862129,2.6725780000000006,0.7231252053480635
AZD4547,RTK signaling,0.2506261264554091,0.008762494394167028,1.2281589969154079,0.0349624140072485,4.900363,0.7231252053480635
PRIMA-1MET,p53 pathway,0.26699214762736695,0.008620951334843589,1.4347451819264228,0.03228915685893353,5.3737355,0.7231252053480635
123138,Unclassified,0.2516935823939409,0.008540054820781323,0.669484038600544,0.03393036381601008,2.6599169999999996,0.7231252053480635
BPD-00008900,Other,0.2557505530741133,0.00845201160014096,0.9141151099973287,0.03304787222763766,3.574244899999999,0.7231252053480635
Daporinad,Metabolism,0.24153548999619603,0.008375727724633679,2.26455813440234,0.034677006367741604,9.375674499999999,0.7231252053480635
MK-2206,PI3K/MTOR signaling,0.2452064426437686,0.008371934495618301,1.2222672154159133,0.03414239204057494,4.9846455999999995,0.7231252053480635
POMHEX,Unclassified,0.2503292844348569,0.00836604680536521,1.0370498282051914,0.03342016825659206,4.14274275,0.7231252053480635
XAV939,WNT signaling,0.24701596268584894,0.00824045937721697,0.7984297949958545,0.03336002777965025,3.2323003999999997,0.7231252053480635
Alpelisib,PI3K/MTOR signaling,0.251024366316803,0.008212824567863482,1.094564714000167,0.03271724051480549,4.360392299999999,0.7231252053480635
Elephantin,Unclassified,0.24249687979313914,0.008071020615276727,1.1738408236925004,0.03328298748487681,4.840643,0.7231252053480635
EHT-1864,Cytoskeleton,0.24688343785857075,0.00793212915635406,0.7850838515779346,0.03212904529018284,3.1799778,0.7231252053480635
THR-103,PI3K/MTOR signaling,0.2390769266200726,0.0075419673369761615,0.9142397782876077,0.03154619495741396,3.8240402,0.7231252053480635
150412,Unclassified,0.23654642659990113,0.007114895534030485,0.8301243204615762,0.030078220315138165,3.5093504999999996,0.7231252053480635
ascorbate (vitamin C),Other,0.22416967406084906,0.006925388745635447,1.0025121135732857,0.03089351302601085,4.472112999999999,0.7231252053480635
VTP-A,Unclassified,0.22960739194920718,0.006730670248900116,0.6578186570845471,0.02931382213682845,2.8649715999999996,0.7231252053480635
MN-64,WNT signaling,0.2332559535480107,0.006594110611611204,0.7746794913012802,0.02826984911342873,3.3211563499999976,0.7231252053480635
729189,Unclassified,0.23454195130766362,0.006531596100049789,0.5824312259657332,0.027848306299293465,2.4832710000000002,0.7231252053480635
WZ4003,"Other, kinases",0.23204831197611572,0.006227449634508967,1.0033064975268704,0.026836866777768014,4.323696599999998,0.7231252053480635
