gene,mean_high,mean_low,delta,cohens_d,p_value,n_high,n_low,fdr,neg_log10_p
ELN,0.0709526318865072,0.07588649546374822,-0.0049338635772410155,-0.039604910868327896,0.5286300567120156,302,303,0.8896156917692278,0.2768481474981597
MT4,0.1070937753507911,0.09268566060883415,0.014408114741956954,0.10182953135695688,0.5286300567120156,302,303,0.8896156917692278,0.2768481474981597
PPIF,-0.03469222278193665,-0.029158272435933132,-0.005533950346003517,-0.046309192509771675,0.5286300567120156,302,303,0.8896156917692278,0.2768481474981597
COIL,-0.33522914881183535,-0.3285469696068954,-0.006682179204939964,-0.033160113134996075,0.5286300567120156,302,303,0.8896156917692278,0.2768481474981597
OSMR,0.124871471959124,0.11683662931456196,0.008034842644562043,0.06661733711684893,0.5286300567120156,302,303,0.8896156917692278,0.2768481474981597
SNAPC2,-1.470009478903035,-1.462979614896425,-0.007029864006609987,-0.0176954341820474,0.5286300567120156,302,303,0.8896156917692278,0.2768481474981597
AFF4,-0.05704278165783869,-0.07147168826765907,0.01442890660982038,0.09756541089096181,0.5286300567120156,302,303,0.8896156917692278,0.2768481474981597
REM2,0.016049369448857626,0.026447472151916937,-0.010398102703059312,-0.07446289395128355,0.5286300567120156,302,303,0.8896156917692278,0.2768481474981597
MAP1LC3B,-0.28642935301517547,-0.29037216250333253,0.003942809488157062,0.020166424118257215,0.5289099344081535,240,254,0.8897212009137977,0.27661827563913055
CARD14,-0.012295044034300496,-0.018732724712629593,0.006437680678329097,0.05713489170896034,0.528934439782885,302,303,0.88947834867936,0.27659815443929353
SPMAP1,-0.17999334889248123,-0.19001350204074144,0.010020153148260214,0.06032399561685813,0.528934439782885,302,303,0.88947834867936,0.27659815443929353
PINX1,-0.10521069205420096,-0.10762667558061503,0.0024159835264140755,0.013445630523987133,0.528934439782885,302,303,0.88947834867936,0.27659815443929353
METTL23,-0.2611000397582491,-0.27167002984106675,0.01056999008281767,0.05637433960428681,0.528934439782885,302,303,0.88947834867936,0.27659815443929353
ANKRD40,-0.15689908035884917,-0.15756193714774955,0.0006628567889003789,0.004152433660995099,0.528934439782885,302,303,0.88947834867936,0.27659815443929353
TEX13B,-0.030701264081651775,-0.02077765897515515,-0.009923605106496626,-0.09045515830451348,0.528934439782885,302,303,0.88947834867936,0.27659815443929353
ADGRE3,0.019952129726801528,0.026921641746811793,-0.006969512020010265,-0.04663598831168676,0.5292389120201888,302,303,0.8895846221191868,0.276348232031065
