drug,instrument_gene,n,F_stat_stage1,beta_ols,beta_iv,delta_iv_ols,rho_crispr_netith
AZD2014,FERMT2,464,37.518280986933895,0.13846501496730929,0.21167314960487435,0.07320813463756506,-0.3468397811823552
JAK1_8709,FERMT2,464,37.518280986933895,0.2298283301572647,0.83641222044399,0.6065838902867253,-0.3468397811823552
ERK_6604,FERMT2,464,37.518280986933895,0.1342761631093472,0.7350956638717017,0.6008195007623545,-0.3468397811823552
AZD5153,FERMT2,464,37.518280986933895,0.19682757780107327,0.7187136959038932,0.5218861181028199,-0.3468397811823552
JAK_8517,FERMT2,464,37.518280986933895,0.1434388774445309,0.4852264190214756,0.3417875415769447,-0.3468397811823552
GSK2606414,ITGAV,535,37.51112409267982,0.22192558861325895,0.844869497496137,0.6229439088828781,-0.30034182756280553
PAK_5339,FERMT2,463,37.477263219179875,0.1604469079194713,0.685771558638871,0.5253246507193996,-0.3460935709111027
CDK9_5576,FERMT2,463,37.43213969265689,0.19081668059104576,0.6628226201309383,0.47200593953989256,-0.34652689047751234
CDK9_5038,FERMT2,463,37.43213969265689,0.17198248883410425,0.6852851356850335,0.5133026468509292,-0.34652689047751234
Dinaciclib,ITGAV,537,37.422138865680175,0.17602894735136937,0.8453280319585499,0.6692990846071805,-0.298993883358849
Docetaxel,ITGAV,572,37.30167868549778,0.17089318479611823,0.6899741381940945,0.5190809533979762,-0.2883508510634614
Nutlin-3a (-),ITGAV,572,37.30167868549778,0.19310384639952194,0.6395500237345019,0.44644617733497993,-0.2883508510634614
MK-2206,ITGAV,572,37.30167868549778,0.12257217807051381,0.8606901344480324,0.7381179563775186,-0.2883508510634614
MG-132,ITGAV,572,37.30167868549778,0.054781053896252575,0.4261299150186611,0.3713488611224085,-0.2883508510634614
5-Fluorouracil,ITGAV,572,37.30167868549778,0.2194981237127345,1.0769758188169545,0.85747769510422,-0.2883508510634614
PD173074,ITGAV,572,37.30167868549778,0.18671510577560615,0.6190389677496422,0.43232386197403605,-0.2883508510634614
EPZ004777,ITGAV,570,37.2440667224153,0.2608164638823929,0.9483619791966724,0.6875455153142795,-0.28815746950347815
GSK343,ITGAV,570,37.2440667224153,0.20393028131039767,1.0216630788610526,0.8177327975506549,-0.28815746950347815
LGK974,ITGAV,570,37.2440667224153,0.216576537076208,1.033053972588718,0.81647743551251,-0.28815746950347815
Fulvestrant,ITGAV,570,37.2440667224153,0.2051883649728587,1.0015014260164823,0.7963130610436235,-0.28815746950347815
Luminespib,ITGAV,570,37.2440667224153,0.09728320854179227,0.5436113584962348,0.4463281499544425,-0.28815746950347815
Irinotecan,ITGAV,570,37.2440667224153,0.21827951516117608,0.9687001117248683,0.7504205965636922,-0.28815746950347815
Alpelisib,ITGAV,570,37.2440667224153,0.1754072902812252,1.0616103116501328,0.8862030213689076,-0.28815746950347815
GSK1904529A,ITGAV,570,37.2440667224153,0.18172481933496568,0.7132164668761724,0.5314916475412067,-0.28815746950347815
Afatinib,PTK2,570,37.22852967130996,0.10945486658595209,0.934719311623176,0.825264445037224,-0.26134959188126644
BIBR-1532,ITGAV,565,37.17190104758267,0.16884627583499334,0.6655410234576196,0.4966947476226262,-0.2898092032470777
Foretinib,ITGAV,565,37.17190104758267,0.1679932053846095,0.7667808859666105,0.598787680582001,-0.2898092032470777
IGF1R_3801,FERMT2,463,37.15994958592215,0.1599494115567059,0.5078845626904644,0.34793515113375856,-0.34562156209769224
Eg5_9814,FERMT2,461,37.1589207566815,0.15256657097578244,0.5941990688235037,0.4416324978477213,-0.34664925756126364
OTX015,ITGAV,537,37.150148910066946,0.21781590036663787,0.7365727684751022,0.5187568681084643,-0.29835805706984586
AZD7762,ITGAV,569,37.14306203129596,0.17656345080487745,1.0960119343670773,0.9194484835621999,-0.28823616009255054
Daporinad,FERMT2,327,37.10946515620793,0.14627215515690623,0.5259774765111502,0.379705321354244,-0.3807397792838738
Dactinomycin,ITGAV,569,37.10172188071675,0.2217488468635391,0.9175588007375076,0.6958099538739685,-0.28787886880993674
MK-8776,ITGAV,564,37.07676482287095,0.19416805572230258,1.1561355108080789,0.9619674550857763,-0.2896580139815049
AZD3759,ITGAV,571,37.06319426371222,0.14690781758177332,1.2902992294429825,1.1433914118612092,-0.2874761426240825
Oxaliplatin,ITGAV,571,37.06319426371222,0.2657031102275074,1.1152172610968483,0.8495141508693409,-0.2874761426240825
MIRA-1,ITGAV,571,37.06319426371222,0.18785771590034817,0.9380725925785842,0.750214876678236,-0.2874761426240825
Camptothecin,ITGAV,571,37.06319426371222,0.1979871779634431,0.776698732241952,0.5787115542785088,-0.2874761426240825
MK-1775,ITGAV,571,37.06319426371222,0.2282855729816046,1.0392149557940604,0.8109293828124559,-0.2874761426240825
Gemcitabine,ITGAV,571,37.06319426371222,0.21828701803109102,0.8567114970531773,0.6384244790220863,-0.2874761426240825
Olaparib,ITGAV,571,37.06319426371222,0.20191035823368397,1.0387046289824187,0.8367942707487347,-0.2874761426240825
Linsitinib,ITGAV,571,37.06319426371222,0.22018722358495654,1.0729773340194073,0.8527901104344507,-0.2874761426240825
PD0325901,ITGAV,571,37.06319426371222,0.08956246237943777,0.3288457270159703,0.23928326463653254,-0.2874761426240825
Lapatinib,ITGAV,571,37.06319426371222,0.08445848111686635,1.2261556974372774,1.141697216320411,-0.2874761426240825
Bortezomib,ITGAV,566,37.051798789239804,0.06586564625027966,0.5253264410714256,0.4594607948211459,-0.2891106614112337
AZD4547,ITGAV,568,36.90574856966364,0.137150987969838,0.7705924239541206,0.6334414359842826,-0.28735899089125655
Axitinib,ITGAV,567,36.844220365441565,0.18626014427652626,1.033073910017829,0.8468137657413027,-0.2886254840915668
Navitoclax,ITGAV,571,36.83271935665764,0.13340722263350172,1.0846008829127805,0.9511936602792788,-0.2866076406771401
Cyclophosphamide,ITGAV,567,36.8198202566743,0.16546611449497234,0.9504563566375903,0.784990242142618,-0.28715632362424776
BMS-536924,ITGAV,567,36.8198202566743,0.12880118837570362,0.6881979810103364,0.5593967926346327,-0.28715632362424776
Afuresertib,ITGAV,567,36.8198202566743,0.05607579510310348,0.8279380782314737,0.7718622831283702,-0.28715632362424776
P22077,ITGAV,567,36.8198202566743,0.1507318258225852,0.8998790516180788,0.7491472257954936,-0.28715632362424776
Buparlisib,ITGAV,567,36.8198202566743,0.16229622503791616,0.8178844663242891,0.6555882412863729,-0.28715632362424776
GSK2578215A,ITGAV,567,36.8198202566743,0.16106910237369965,0.751399238670079,0.5903301362963793,-0.28715632362424776
AGI-5198,ITGAV,567,36.8198202566743,0.14917475740634037,0.7383601723191283,0.589185414912788,-0.28715632362424776
