gene,n_low,n_high,mean_netith_low,mean_netith_high,delta_netith,cohens_d,mwu_p,is_tf,fdr
MAB21L2,254,254,5.728692886109363,5.649980636887264,-0.0787122492220993,-0.36569844357253234,2.0868073995398236e-05,False,6.150646689425034e-05
LELP1,254,254,5.734751781247078,5.651863185458374,-0.08288859578870422,-0.3656920883702706,9.081792647356338e-06,False,2.890746027519918e-05
CPAMD8,254,254,5.750149541059175,5.667980225929394,-0.08216931512978043,-0.36567405251313895,3.6533744181439073e-06,False,1.2690164250099626e-05
PRR16,254,254,5.693852496759064,5.770285660782602,0.0764331640235385,0.36564741388900457,1.783068987557536e-05,False,5.3155233370844325e-05
PLIN4,254,254,5.747056531615618,5.663633514513101,-0.08342301710251654,-0.3655656753921877,6.091478262586808e-06,False,2.0118954991312534e-05
CYP26C1,254,254,5.734070896351436,5.651120526740163,-0.08295036961127256,-0.36555224574241724,1.5640312187253675e-05,False,4.7189793007007626e-05
AMPD1,254,254,5.741838005341214,5.663071746126228,-0.07876625921498626,-0.36554231976966717,1.5134217657080154e-05,False,4.575912777631143e-05
HRG,254,254,5.745132233600776,5.665402176712481,-0.0797300568882946,-0.3655230309108204,1.576702738739234e-06,False,5.948862427956474e-06
DBN1,254,254,5.645976752231974,5.727084070886439,0.08110731865446486,0.36542720640079634,5.400958388731905e-06,False,1.8025200862354965e-05
MCMBP,254,254,5.74262690342322,5.659211014175307,-0.0834158892479131,-0.3653736033911967,2.8863868644798677e-05,False,8.270654748612061e-05
MTA1,254,254,5.748919058270344,5.669126401396331,-0.07979265687401327,-0.36536073892194515,1.4483670588747512e-05,False,4.3993222284486306e-05
LDLRAD3,254,254,5.644139492960361,5.725566283155098,0.08142679019473675,0.36532891773669574,6.321808553453844e-06,False,2.0827701384401373e-05
SLC7A7,254,254,5.718249522845172,5.640790386791306,-0.07745913605386612,-0.36532859853381044,2.5394370178846406e-05,False,7.371052336252734e-05
IL12A,254,254,5.6622632566068525,5.744059308937116,0.08179605233026344,0.3652448102276049,0.00021469576905862767,False,0.0005090959365284608
GPBP1,254,254,5.7468716930570105,5.667442347158206,-0.0794293458988049,-0.3652334323124342,7.4127737921291744e-06,False,2.4112541981545752e-05
KIF7,254,254,5.650082365632562,5.729892040302516,0.07980967466995459,0.36522567627502395,2.7397086238239266e-06,False,9.809685270273805e-06
UBE2N,254,254,5.723880876536452,5.643605706494533,-0.08027517004191864,-0.36521872892928386,1.6655766302273822e-05,False,4.988609370806408e-05
OR2M5,254,254,5.7406794260845855,5.658726437146045,-0.0819529889385402,-0.3651326937929657,2.355768296178675e-05,False,6.877388062214763e-05
ZCCHC13,254,254,5.737696629676483,5.656664943728004,-0.08103168594847876,-0.36510238630177216,1.812420020977643e-05,False,5.396475122180446e-05
COG5,254,254,5.665922654444774,5.746378014339467,0.08045535989469332,0.3650605381242819,3.501616350501471e-05,False,9.854597978562794e-05
MYO3A,254,254,5.751352461098976,5.6705620813539115,-0.0807903797450642,-0.3650132895316394,1.551229698787052e-05,False,4.682818892389625e-05
BTN3A1,254,254,5.743159947394405,5.661394494661278,-0.0817654527331273,-0.36500540750626925,4.6929104043077265e-05,False,0.00012831465882132763
FBXO5,254,254,5.736542319147514,5.656098548442928,-0.08044377070458619,-0.3649111587844502,3.889609752496841e-05,False,0.00010834846534849905
APIP,254,254,5.731066641615409,5.649859193528231,-0.08120744808717806,-0.36486391772207205,2.9484247638758276e-05,False,8.430161962006003e-05
KDM5D,254,254,5.750709797364463,5.672797458516864,-0.0779123388475993,-0.3648576346983458,8.488503799214876e-05,False,0.000219268289308147
TRANK1,254,254,5.72241596256729,5.637805684811993,-0.08461027775529661,-0.36485547345353236,3.566749703027282e-05,False,0.00010023143545461896
C9orf72,254,254,5.74318892008866,5.662398489510867,-0.08079043057779334,-0.36484630175219096,2.5191252568602283e-05,False,7.31703369524701e-05
PDHA2,254,254,5.739480775998451,5.659673010733857,-0.07980776526459366,-0.36484075925213644,4.452041810355562e-06,False,1.517629234639834e-05
SET,254,254,5.747685408849069,5.6669314391233545,-0.08075396972571447,-0.3647757476884026,4.67643747944229e-06,False,1.585950336827422e-05
SPRR2F,254,254,5.743148343992218,5.662825923486203,-0.08032242050601557,-0.36470158139210257,6.725698411648902e-05,False,0.00017790056647512342
CFAP96,254,254,5.672097151214383,5.755622365130703,0.08352521391632006,0.36466414506393097,5.437944831609841e-05,False,0.00014672641419375825
BRINP2,254,254,5.7450733224167525,5.666127768662985,-0.07894555375376733,-0.3646293750590595,9.87835334830241e-06,False,3.1217629238315224e-05
ZGLP1,254,254,5.727740928764585,5.6468159596289516,-0.08092496913563352,-0.3645308809775057,8.805400748615581e-06,False,2.811614967086256e-05
SPIC,254,254,5.743135540726992,5.663839625318617,-0.079295915408375,-0.36447812970434795,5.466019985579428e-05,True,0.00014739145598362084
DIPK2A,254,254,5.742873411449855,5.660388725587269,-0.08248468586258628,-0.364473177700877,1.7928019788044503e-05,False,5.342686562268771e-05
PLA2G2A,254,254,5.7460742384552805,5.66376272874692,-0.08231150970836065,-0.3644574640558671,3.816767755945058e-06,False,1.3207045296723184e-05
TGM1,254,254,5.750939429498881,5.670967616821259,-0.07997181267762166,-0.36443994962314474,3.037471049714509e-06,False,1.0763811192035285e-05
DTX1,254,254,5.723148865333302,5.645044226707799,-0.07810463862550332,-0.36438083919190906,5.38546809935287e-06,False,1.7980480740871256e-05
C2CD2L,254,254,5.744981138740351,5.663977828003319,-0.0810033107370316,-0.3643555737406977,1.2172145898739689e-05,False,3.762319525682325e-05
GIT1,254,254,5.741773659962744,5.6652093692803245,-0.07656429068241977,-0.364329464952229,2.6152543159951064e-05,False,7.563044635075962e-05
PLA2G2E,254,254,5.737673806507907,5.658303402330617,-0.0793704041772898,-0.3643182521818916,3.604483590733757e-05,False,0.00010115960555426882
SLC30A3,254,254,5.75871990688054,5.680251357427973,-0.07846854945256698,-0.36430501711593527,1.3707939741708283e-05,False,4.179196588038358e-05
ARHGEF2,254,254,5.743060556138699,5.662342356535831,-0.08071819960286852,-0.3642415338007411,0.00043004566948258406,False,0.0009595557868426422
CENPP,254,254,5.731734266843381,5.652409723334323,-0.07932454350905793,-0.364217815642511,2.226008098415509e-06,False,8.100183054970418e-06
ZNF703,254,254,5.664540171549246,5.743705305600639,0.07916513405139369,0.36421615484364545,1.4090714706306733e-05,False,4.2882941200138376e-05
NEURL1B,254,254,5.638318389778071,5.7159402636162415,0.07762187383817043,0.3640968110169218,8.25678904703947e-05,False,0.00021389311505741856
PMAIP1,254,254,5.743536497443399,5.660621727805849,-0.08291476963754985,-0.3640753483962389,1.8878247051860582e-05,False,5.606435213036151e-05
IL36RN,254,254,5.768410293692536,5.68376960413132,-0.0846406895612164,-0.36403303154261873,1.0017439308367677e-05,False,3.158752952213243e-05
AQP11,254,254,5.657633938878732,5.739496698810862,0.08186275993213066,0.3640278178988594,1.0711494919421785e-05,False,3.356684716869632e-05
LOC105374971,254,254,5.75542577331485,5.676444366596812,-0.07898140671803855,-0.3639868322261986,8.56112601787856e-06,False,2.7443147341321115e-05
PXYLP1,254,254,5.639893163738664,5.723117644774606,0.08322448103594215,0.36397866784608585,3.142232414143451e-05,False,8.942676994652797e-05
IL22RA2,254,254,5.728993087720865,5.650628725698816,-0.07836436202204933,-0.36394033262873027,0.00017385292176111416,False,0.0004204786427464742
NRIP3,254,254,5.659639139172799,5.7365672424783485,0.07692810330554956,0.36391696147833513,4.2750271905682595e-06,False,1.463377964277903e-05
NUP43,254,254,5.7417617365567954,5.660612037342918,-0.08114969921387782,-0.3638798708539154,3.0643904318978337e-06,False,1.0845798316682024e-05
CLP1,254,254,5.729252203758147,5.648682450808679,-0.08056975294946778,-0.36385969399111623,2.3876111868988248e-05,False,6.96443954991465e-05
MSRB3,254,254,5.676239643322181,5.757864215220424,0.08162457189824313,0.3638469392606784,6.90516480537537e-06,False,2.2580939128756986e-05
SNRNP70,254,254,5.729944634939852,5.650151086852109,-0.07979354808774364,-0.36383973133521635,2.0476922227995263e-05,False,6.046756038519253e-05
HSPA5,254,254,5.650389726373006,5.730493531137134,0.08010380476412848,0.36378073669110095,3.7199726885835716e-05,True,0.00010399358071887862
XKR3,254,254,5.738806529286483,5.657798741439671,-0.08100778784681228,-0.3637518873268502,0.00011562847077113854,False,0.00029005765287069477
OR4K14,254,254,5.741681177674194,5.658870298364928,-0.08281087930926656,-0.36371412365675737,5.798911757556652e-05,False,0.00015544192167949505
